guideId,outletId,originType,mode,provider,line,boardingPoint,destination,estimatedDurationMin,estimatedDurationMax,estimatedFareMin,estimatedFareMax,currency,fareAccuracy,sourceNote,officialCheckNote,confidence,officialProviderUrl,operator,alightingPoint,suppressDerivedDurationFallback,transferPoints,displayDuration,walkNote,displayFare,checkedAt,sourceUrls,fareUnit
strasbourg-to-roppenheim-official-shuttle,roppenheim-the-style-outlets,shuttle,shuttle,Roppenheim Strasbourg Shuttle,,Strasbourg – 3 Boulevard de Metz,Roppenheim The Style Outlets,,,,,,,Daily service from Strasbourg FS; reservation required. The official shuttle is free when reserved.,,exact,https://roppenheim.thestyleoutlets.fr/en/services/strasbourg-shuttle,,,true,,,,,,,
paris-to-paris-giverny-designer-outlet-shuttle,paris-giverny-designer-outlet,shuttle,shuttle,McArthurGlen Paris-Giverny Shuttle,,Pullman Paris Tour Eiffel,Designer Outlet Paris-Giverny,,,30,45,EUR,estimated,Direct service operates Friday through Sunday. The estimated EUR 30–45 range conservatively covers the current return shuttle without restoring an older promotional price; check the current official booking price and terms.,,exact,https://www.mcarthurglen.com/en/outlets/fr/designer-outlet-paris-giverny/whats-on/shuttle-bus/,,,true,,,,,,,
paris-montparnasse-to-one-nation-paris-train-bus,one-nation-paris,cityCenter,train,Transilien / Île-de-France Mobilités,N → Villepreux-les-Clayes → 5101,Paris Montparnasse,One Nation Paris,,,3,6,EUR,estimated,Bus 5101 serves One Nation Paris Outlet as its first stop from Villepreux-les-Clayes; a published 10-minute walk is the alternative. The estimated EUR 3–6 total range conservatively covers the Line N and bus journey; check the current Île-de-France Mobilités price before travel.,,exact,https://www.onenation.fr/en/outlet-mall-access/,Transilien / Île-de-France Mobilités,One Nation Paris Outlet,true,,,,,,,
serravalle-milan-official-shuttle,serravalle-designer-outlet,shuttle,shuttle,Zani Viaggi / Frigerio Viaggi,,Milano Centrale / Largo Cairoli,Serravalle Designer Outlet,60,90,25,35,EUR,estimated,"The estimated EUR 25–35 adult return range covers only the recommended official partner shuttles from Milan operated by Zani Viaggi or Frigerio Viaggi. Zani pricing starts from the repository-supported €25 return value; partner and selected departure prices can differ, so check the official booking conditions.",Book the official partner shuttle and confirm the return departure on your ticket.,exact,https://www.mcarthurglen.com/en/outlets/it/designer-outlet-serravalle/plan-your-visit/,,,,,,,,,,
serravalle-train-bus,serravalle-designer-outlet,cityCenter,train,Trenitalia,Outlet Link,,Serravalle Designer Outlet,90,120,2,25,EUR,estimated,,Confirm the combined Trenitalia train and Outlet Link bus timetable.,partial,,,,,"[""Arquata Scrivia / Serravalle Scrivia / Novi Ligure""]",,,,,,
barberino-florence-smn-shuttle,barberino,shuttle,shuttle,Barberino Outlet shuttle service,,Firenze Santa Maria Novella – Sightseeing Visitor Center,Barberino Outlet,,,13,20,EUR,estimated,"The estimated EUR 13–20 return range covers only the official Florence SMN–Barberino shuttle. The current exact fare could not be independently reverified, so check the official ticket price and conditions before travel; Bologna, taxi, fuel and toll costs are excluded.",Check the official seasonal shuttle times before travel.,exact,https://www.barberinooutlet.com/en/news-and-events/shuttle-bus-service-florence-station-barberino-outlet/,,,,,,,,,,
castel-romano-termini-shuttle,castel-romano,shuttle,shuttle,,,"Via Giolitti 48, Roma Termini",Castel Romano Designer Outlet,,,18,18,EUR,exact,"The official route-fact provenance supports the €18 adult round-trip fare for the Via Giolitti 48, Roma Termini shuttle. Child concessions are supplementary and do not make the adult route free; check current official ticket conditions.",Check current departure and return times on the official page.,exact,https://www.mcarthurglen.com/en/outlets/it/designer-outlet-castel-romano/services/shuttle-bus-service/,,,,,,,,,,
castel-romano-eur-fermi-shuttle,castel-romano,shuttle,shuttle,,,EUR Fermi Underground Station,Castel Romano Designer Outlet,,,13,13,EUR,exact,Adult round trip €13; the published under-25 offer is free.,Check current conditions and times on the official page.,exact,https://www.mcarthurglen.com/en/outlets/it/designer-outlet-castel-romano/services/shuttle-bus-service/,,,,,,,,,,
fidenza-milan-shopping-express,fidenza-village,shuttle,shuttle,Fidenza Village Shopping Express,Fidenza Village Shopping Express,"Piazza della Repubblica 5, Via Turati corner, Milan",Fidenza Village,90,90,10,10,EUR,exact,The official route-fact provenance supports the €10 paying-adult Shopping Express fare from Milan. Children ages 5–11 are €5 and ages 0–4 travel free as supplementary conditions; arrive at least 15 minutes before departure and confirm the current adult fare when booking.,Confirm current times and fares when booking.,exact,https://www.thebicestercollection.com/fidenza-village/en/getting-here/shopping-express/,,,,,,,,,,
la-reggia-naples-public-transport,la-reggia,cityCenter,train,Trenitalia / AIR Campania,La Reggia Designer Outlet Link / AIR Campania 08-UC,Napoli Centrale,La Reggia Designer Outlet,,,5,8,EUR,estimated,The estimated EUR 5–8 one-way total covers the Napoli Centrale–Caserta regional train and the La Reggia Outlet Link bus without double-counting a combined Trenitalia ticket. Existing authoritative provenance records the bus supplement as €1.30 each way; check the current through-ticket or component prices before travel.,Check current train and Outlet Link times before travel.,exact,https://www.trenitalia.com/en/connections/la-reggia-designer-outlet-link.html,Trenitalia / AIR Campania,,true,"[""Caserta railway station""]",,,,,,
noventa-venice-atvo-direct-bus,noventa,cityCenter,bus,ATVO,,Venezia Piazzale Roma,Noventa di Piave Designer Outlet,,,9.2,9.2,EUR,exact,The official route-fact provenance supports the €9.20 adult return ticket from Venezia Piazzale Roma. Children under 6 travelling free is supplementary and does not replace the paying-adult fare; check current booking conditions.,Check current times and booking conditions on the official page.,exact,https://www.mcarthurglen.com/en/outlets/it/designer-outlet-noventa-di-piave/services/bus-connection/,ATVO,,,,,,,,,
noventa-mestre-atvo-direct-bus,noventa,cityCenter,bus,ATVO,,Mestre FS,Noventa di Piave Designer Outlet,,,9.2,9.2,EUR,exact,"Daily service via Venezia Piazzale Roma, Venice Marco Polo Airport, and San Donà di Piave; return fare €9.20 and children under 6 travel free.",Check current times and booking conditions on the official page.,exact,https://www.mcarthurglen.com/en/outlets/it/designer-outlet-noventa-di-piave/services/bus-connection/,ATVO,,,,,,,,,
noventa-marco-polo-airport-atvo,noventa,airport,bus,ATVO,,Venezia Marco Polo (VCE),Noventa di Piave Designer Outlet,,,9.2,9.2,EUR,exact,"Daily service via Venezia Piazzale Roma, Mestre Bus Terminal / Railway Station, and San Donà di Piave; return fare €9.20 and children under 6 travel free.",Check current times and booking conditions on the official page.,exact,https://www.mcarthurglen.com/en/outlets/it/designer-outlet-noventa-di-piave/services/bus-connection/,ATVO,,,,,,,,,
the-mall-firenze-florence-direct-bus,the-mall-firenze,cityCenter,bus,Busitalia,The Mall by Bus,"Piazzale Montelungo, Firenze",The Mall Firenze,,,18,18,EUR,exact,"The primary paying-adult fare is the official €18 same-day return ticket; the official adult one-way fare is €9.50. Reduced fares are €5 one way and €9 return for children under 12, while children under 4 travel free with a paying adult; concessions are supplementary and do not make the primary route free.",Check current outward and return times on the official Busitalia page.,exact,https://www.fsbusitalia.it/eng/tourism/outlet-the-mall---florence-direct-bus.html,Busitalia,,,,,,,,,
scalo-milano-shuttle-guide,scalo-milano-outlet-more,shuttle,shuttle,Scalo Milano Shuttle Bus,,Piazza della Repubblica 5 / Via Lorenzini 30 / Via Ripamonti 426,Scalo Milano Outlet & More,,,5,10,EUR,estimated,"The estimated EUR 5–10 paying-adult return fare covers only the current official Scalo Milano shuttle from the three stored Milan stops. It excludes expired promotional free bookings, discount campaigns and other transport modes; verify the current official booking total.",Check the official booking page for current times and terms.,exact,https://www.scalomilano.it/en/reach-us/,,,true,,,,,,,
scalo-milano-train-bus-guide,scalo-milano-outlet-more,cityCenter,train,,Passante Ferroviario S13,Milano S13,Scalo Milano Outlet & More,,,,,,,"The official page also lists ATM 220, Line 94, and Line 155 bus connections.",Check current train and bus times and fares before travel.,exact,https://www.scalomilano.it/en/reach-us/,,Locate Triulzi,true,,,Locate Triulzi station is a short walk from Gate 1.,,,,
torino-outlet-village-public-transport-guide,torino-outlet-village,cityCenter,train,GTT / SFM,"Tram 4 / SFM 1, 2, 4, 6, 7 → Torino Stura → GTT SE1 / SE2",Torino / Torino Lingotto / Torino Porta Susa / Torino Rebaudengo,Torino Outlet Village,,,3,6,EUR,estimated,"The estimated EUR 3–6 adult one-way total covers the documented local Tram 4 or SFM journey to Torino Stura and GTT SE1 or SE2 to Nervi from the stored Turin city-centre origin. It avoids double-counting integrated local transport, excludes high-speed Trenitalia or Italo intercity fares, and does not charge for the final walk.",Check current GTT and SFM times before travel.,exact,https://www.torinooutletvillage.com/en/find-us,GTT / SFM,Nervi,true,,,,,,,
valdichiana-village-arezzo-train-bus,valdichiana-village,cityCenter,bus,Tiemme,LS5,Arezzo Terminal Tiemme,Valdichiana Designer Village,50,50,3,6,EUR,estimated,The estimated EUR 3–6 one-way fare covers only Tiemme Line LS5 from Arezzo Terminal Tiemme to Valdichiana Designer Village. The walk from Arezzo station to the terminal and any upstream Trenitalia journey are excluded; check the current Tiemme fare.,Check the current LS5 timetable before travel.,exact,https://www.valdichianadesignervillage.com/en/directions,Tiemme,,,,,,,,,
brescia-station-to-franciacorta-designer-village-bus,franciacorta-designer-village,cityCenter,bus,Arriva / SIA,LS029,Brescia SIA,Franciacorta Designer Village,25,25,3,5,EUR,estimated,The estimated EUR 3–5 one-way fare covers only the SIA/Arriva Line LS029 bus from the Brescia station bus area to Franciacorta Designer Village. Upstream rail and walking sections are excluded; check the current operator fare.,Check the current LS029 timetable before travel.,exact,https://www.franciacortadesignervillage.com/en/directions,Arriva / SIA,,,,,,,,,
mantova-station-to-mantova-village-bus,mantova-village,cityCenter,bus,APAM,31A,Viale Piave 4A,Mantova Village,30,30,3,5,EUR,estimated,The estimated EUR 3–5 one-way fare covers only APAM Line 31A from Viale Piave 4A to Mantova Village. The official segments remain a free published 10-minute walk from Mantova FS followed by a published 20-minute bus ride; upstream rail is excluded.,Check the current APAM 31A timetable before travel.,exact,https://www.mantovavillage.it/en/contact-and-information,APAM,,,,,,,,,
milan-to-vicolungo-style-outlets-shuttle,vicolungo-the-style-outlets,shuttle,shuttle,Vicolungo Shuttle Service,,Milano Centrale – Piazza IV Novembre,Vicolungo The Style Outlets,,,20,30,EUR,estimated,"The estimated EUR 20–30 paying-adult return fare covers only the recommended shuttle from Milano Centrale, Piazza IV Novembre, to Vicolungo The Style Outlets. Temporary promotions and discount codes, as well as train, taxi, private-transfer and car costs, are excluded; check the current official booking total.","Check current operating dates, fares, and booking terms.",exact,https://vicolungo.thestyleoutlets.it/en/tourism/services/shuttle-service,,,true,,,,,,,
castel-san-pietro-to-castel-guelfo-style-outlets-last-mile,castel-guelfo-the-style-outlets,shuttle,shuttle,Castel Guelfo Shuttle,Castel San Pietro Terme FS → TPER Martiri Partigiani → Castel Guelfo,Castel San Pietro Terme FS,Castel Guelfo The Style Outlets,5,5,,,,,The official free shuttle covers only Castel San Pietro Terme FS to Castel Guelfo The Style Outlets and operates Monday through Sunday; upstream rail to the stored station origin is excluded.,Check current shuttle times before travel.,exact,https://castel-guelfo.thestyleoutlets.it/en/tourism/services/shuttle-service,,,,"[""TPER Martiri Partigiani""]",,,,,,
puglia-village-bari-shuttle-guide,puglia-village,shuttle,shuttle,Puglia Village Shuttle,,Bari Centrale – Piazza Aldo Moro / Corso Vittorio Emanuele II – Via Melo / Porto di Bari,Puglia Village,,,,,,,The official free shuttle covers only the selected Bari pickup point to Puglia Village and operates Friday through Sunday and holidays; local travel to the pickup point is excluded.,Check current shuttle times before travel.,exact,https://www.pugliavillage.it/en/news-and-events/free-shuttle-from-bari-r1ttraifbe,,,true,,,,,,,
sicilia-outlet-village-bus-shuttle-guide,sicilia-outlet-village,shuttle,shuttle,Interbus / SAIS Autolinee / Sicilia Outlet Village Shuttle,,Palermo / Messina / Catania / Cefalù,Sicilia Outlet Village,,,10,30,EUR,estimated,"The estimated EUR 10–30 adult one-way fare covers only the selected official Interbus, SAIS Autolinee or dedicated outlet route from the stored Palermo, Messina, Catania or Cefalù departure locations. The final price varies by selected departure location and operator; taxi and private-car costs are excluded.",Check the selected official route and current terms.,partial,https://www.siciliaoutletvillage.com/en/find-us,,,true,,,,,,,
valmontone-outlet-train-shuttle-guide,valmontone-outlet,cityCenter,train,Valmontone Outlet / Trenitalia,Valmontone Outlet Link,Valmontone FS,Valmontone Outlet,,,1.5,1.5,EUR,exact,The €1.50 paying-passenger fare covers only the official shuttle from the stored Valmontone FS origin to Valmontone Outlet; upstream Trenitalia rail is excluded. The shuttle operates Wednesday through Sunday and holidays; a combined train and shuttle ticket is available through Trenitalia.,Check current shuttle and train times before travel.,exact,https://www.valmontoneoutlet.com/en/news-events/valmontone-outlet-link-for-even-more-convenient-shopping/,Valmontone Outlet / Trenitalia,,true,,,,,,,
cervignano-station-to-palmanova-designer-village-local-transfer,palmanova-designer-village,cityCenter,taxi,,,Cervignano-Aquileia-Grado,Palmanova Designer Village,13,13,25,40,EUR,estimated,"The estimated EUR 25–40 normal-daytime licensed taxi/verified transfer fare covers the documented approximately 12 km route from the stored Cervignano-Aquileia-Grado station origin to Palmanova Designer Village. It excludes the upstream train fare; traffic, supplements, luggage, night, weekend and booking conditions can change the total, so confirm with the licensed provider.",,exact,https://www.palmanovadesignervillage.com/en/directions,,,,,,,,,,
mondovicino-outlet-village-train-bus-guide,mondovicino-outlet-village,cityCenter,bus,Mondovì Circolare Urbana,,Mondovì FS,Mondovicino Outlet Village,,,2,3,EUR,estimated,The estimated EUR 2–3 adult one-way fare covers only the urban circular bus from the stored Mondovì FS origin to Mondovicino Outlet Village. Upstream rail to Mondovì and any pedestrian connection are excluded; the official outlet page links current weekday and holiday timetables.,,exact,https://mondovicino.it/en/come-visit/,Mondovì Circolare Urbana,,true,,,,,,,
brugnato-5terre-outlet-village-shuttle-guide,brugnato-5terre-outlet-village,shuttle,shuttle,Brugnato 5Terre Shuttle,,Genova / Rapallo / Chiavari / Sestri Levante / Livorno / Pisa / Versilia,Brugnato 5Terre Outlet Village,,,5,5,EUR,exact,"Official departure areas include Genova, Rapallo, Chiavari, Sestri Levante, Livorno, Pisa, Viareggio, Lido di Camaiore, Marina di Pietrasanta, Forte dei Marmi, Marina di Massa, and Marina di Carrara; €5 per person, cash at departure, reservation required.",,partial,https://www.brugnato5terreoutletvillage.it/it/page/28/bus-navetta,,,true,,,,,,,
cilento-outlet-village-train-guide,cilento-outlet-village,cityCenter,taxi,,,Battipaglia FS,Cilento Outlet,,,25,40,EUR,estimated,"The estimated EUR 25–40 normal-daytime licensed taxi or verified pickup fare covers only the documented approximately 10 km route from the exact stored Battipaglia FS origin to Cilento Outlet. Upstream rail and the outlet's free parking are excluded; traffic, supplements, luggage, night, weekend and booking conditions can change the total.",,partial,https://www.cilentooutlet.com/how-to-reach-us/?lang=en,,,true,,,,,,,
santangelo-outlet-village-train-guide,santangelo-outlet-village,cityCenter,taxi,,,Pescara Centrale,Santangelo Outlet Village,15,15,20,35,EUR,estimated,"The estimated EUR 20–35 normal-daytime licensed taxi or verified transfer fare covers only the official outlet's supported 15-minute route from the exact stored Pescara Centrale origin to Santangelo Outlet Village. Upstream rail and free parking are excluded; traffic, supplements, luggage, night, weekend and booking conditions can change the total.",,partial,https://santangeloutlet.com/en/how-to-get-there/,,,,,,,,,,
santangelo-outlet-village-bus-guide,santangelo-outlet-village,cityCenter,bus,TUA Abruzzo,Pescara ↔ Città Sant’Angelo,Pescara,Santangelo Outlet Village,,,,,,,The official outlet page links the TUA Abruzzo Pescara–Città Sant’Angelo timetable without publishing an exact outlet stop or total duration.,,partial,https://santangeloutlet.com/en/how-to-get-there/,TUA Abruzzo,,true,,,,,,,
saw-to-viaport-asia-licensed-taxi,viaport-asia-outlet-shopping,airport,taxi,Licensed Istanbul taxi,,Sabiha Gökçen International Airport arrivals taxi rank,"Viaport Asia Outlet Shopping, Yenişehir Mahallesi, Dedepaşa Caddesi No:19, Pendik",,,312,408,TRY,estimated,"Official Sabiha Gökçen ground-transport information supports licensed taxis at the airport, and Viaport publishes the destination address at Yenişehir Mahallesi, Dedepaşa Caddesi No:19, Pendik plus approximately 10-minute airport proximity. The official İBB / UKOME / Toplu Ulaşım Hizmetleri yellow taxi tariff is effective 20.07.2026 under the 17.07.2026, Decision No. 813 tariff document: opening fee TRY 71.94, distance tariff TRY 47.92/km, waiting/time tariff TRY 598.90/hour, minimum fare TRY 230 and conversion speed 12.50 km/hour. The estimated TRY 312–408 range uses the retained 5.0–7.0 km local Pendik road-distance range: 71.94 + 47.92 × 5.0 km = TRY 311.54, displayed as TRY 312, through 71.94 + 47.92 × 7.0 km = TRY 407.38, displayed as TRY 408. The minimum fare does not bind because both calculated endpoints exceed TRY 230; no airport flat fare or toll is expected for this local Pendik route. Traffic or low-speed meter time may increase the actual fare; waiting is not included in the numeric range. Booking, luggage and other supplements are not included, and travel before the arrivals taxi rank, parking and final walking are excluded.","Confirm the licensed airport taxi rank, active taximeter or licensed app quote, current İBB/TUHİM taxi tariff effective 20.07.2026 and Viaport address before travel.",partial,https://www.sabihagokcen.aero/kisisellestirilmis-giris-sayfasi/gelis/havalimanimizda/seyahatinizi-planlayin,,,true,,,,,,,
istanbul-to-viaport-asia-iett,viaport-asia-outlet-shopping,cityCenter,bus,İETT,134 toward Dedepaşa Bulvarı / Viaport corridor,Kartal,Viaport Asia Outlet Shopping,,,,,,,"Official İETT route information classifies 134 as KADEMELİ TARİFE and supports a Kartal-departure direction toward the Dedepaşa Bulvarı / Viaport corridor, but the currently published service is highly limited with isolated early-morning Kartal departures around 08:05–08:10 and no reliable post-shopping return matching 10:00–22:00 outlet hours. The staged fare is not stored because the exact Kartal-to-Dedepaşa Caddesi charge is not represented here; verify operation and fare before treating this as a secondary alternative.","Do not use this as the permanent primary. Confirm İETT 134 operating that day, the Kartal departure, Dedepaşa Caddesi stop in the selected direction and the current staged adult fare before travel.",partial,https://iett.istanbul/RouteDetail?hkod=134,İETT,Dedepaşa Caddesi,true,,,The pedestrian connection from Dedepaşa Caddesi along the outlet-address corridor is free and excluded.,,,,
pendik-area-to-viaport-asia-minibus,viaport-asia-outlet-shopping,cityCenter,bus,Public minibus,Pendik–Kurtköy–Viaport / Pendik–Velibaba–Viaport / Kartal–Sultanbeyli–Viaport / Dudullu–Yedpa–Viaport / Çekmeköy–Madenler–Viaport,,Viaport Asia Outlet Shopping,,,,,,,,Confirm the current local minibus boarding and return arrangements.,partial,,,,,,,,,,,
istanbul-to-viaport-asia-car,viaport-asia-outlet-shopping,taxiUber,taxi,,,,Viaport Asia Outlet Shopping,,,,,,,Verified road access includes free visitor parking for drivers.,"Check traffic, taxi fare, and return pickup before travel.",partial,,,,,,,,,,,
sirkeci-to-olivium-kazlicesme-rail,olivium-outlet-center,cityCenter,train,Sirkeci–Kazlıçeşme Rail,Sirkeci–Kazlıçeşme rail service,Sirkeci,Olivium Outlet Center,,,37.4,37.4,TRY,exact,"Official TCDD Sirkeci–Kazlıçeşme rail-service information supports the direct Sirkeci to Kazlıçeşme route. The current official İstanbul public-transport tariff category for Sirkeci–Kazlıçeşme Yüzeysel sets the ordinary adult first-boarding fare at TRY 37.40 for one visitor-compatible İstanbulkart full-fare validation; no Marmaray distance refund or standard metro fare is used. Travel to Sirkeci, card purchase cost and final walking are excluded.","Confirm the Sirkeci–Kazlıçeşme service, Kazlıçeşme stop and current adult tariff on the official TCDD/Marmaray tariff page before travel.",exact,https://www.tcddtasimacilik.gov.tr/marmaray/tr/sirkeci_kazlicesme_ucretlendirme,TCDD Taşımacılık,Kazlıçeşme,true,,,The official approximately five-minute final walk is free and excluded.,,,,
zeytinburnu-to-olivium-local-connection,olivium-outlet-center,cityCenter,bus,,M1A / T1 / Metrobüs + bus or minibus,Zeytinburnu,Olivium Outlet Center,,,,,,,,Confirm the current local connection and return service at Zeytinburnu.,partial,,,,,"[""Zeytinburnu""]",,,,,,
istanbul-to-olivium-iett,olivium-outlet-center,cityCenter,bus,İETT,93 / 93C / 93M / 93T / BN3 / MR11 / MR20 / 97E,,Olivium Outlet Center,,,,,,,,"Confirm the current İETT boarding point, stop, and timetable before travel.",exact,,İETT,,,,,,,,,
istanbul-asian-side-to-olivium-ferry-rail,olivium-outlet-center,cityCenter,ferry,,Ferry or sea bus + T1 or Marmaray,,Olivium Outlet Center,,,,,,,,Choose one complete ferry and rail alternative and confirm return services.,partial,,,,,"[""Eminönü / T1"",""Yenikapı / Marmaray""]",,,,,,
istanbul-to-olivium-car,olivium-outlet-center,taxiUber,taxi,,,,Olivium Outlet Center,,,,,,,,"Check traffic, taxi fare, and return pickup before travel.",partial,,,,,,,,,,,
istanbul-to-starcity-m9,starcity-outlet,cityCenter,metro,Metro İstanbul,M1A / M9 toward Olimpiyat,Yenikapı,StarCity Outlet,,,92.4,92.4,TRY,exact,"Official Metro İstanbul network information supports M1A from Yenikapı and the physical Yenibosna transfer to M9 toward Olimpiyat, then Doğu Sanayi. The exact TRY 92.40 fare is two anonymous İstanbulkart full validations: M1A boarding TRY 46.20 plus M9 boarding TRY 46.20; anonymous cards receive no transfer discount. Travel to Yenikapı, card purchase cost and final walking are excluded.","Confirm the line, direction, boarding and alighting points, adult payment product and fare on the official provider before travel.",exact,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M9,Metro İstanbul,Doğu Sanayi,true,"[""Yenibosna: M1A to M9""]",,The approximately 500-metre final walk is free and excluded.,,,,
metrobus-to-starcity-local-connection,starcity-outlet,cityCenter,bus,,Metrobüs + local bus/minibus/M9 connection,Şirinevler / Yenibosna / Sefaköy,StarCity Outlet,,,,,,,,Confirm the most convenient current local and return connection.,partial,,,Şirinevler / Yenibosna / Sefaköy,,,,,,,,
istanbul-to-starcity-iett,starcity-outlet,cityCenter,bus,İETT,31 / 31E / 36AY / 78B / 79F / 79G / 79K / 79Ş / 89YB / 98B / 98H / 98T,,StarCity Outlet,,,,,,,,"Confirm the current İETT boarding point, nearby stop, and timetable.",exact,,İETT,Dr. Enver Ören Kültür Merkezi / Alışveriş Merkezi – Bahçelievler,,,,,,,,
sirinevler-sefakoy-to-starcity-minibus,starcity-outlet,cityCenter,bus,Public minibus,Şirinevler–Yenibosna / Küçükçekmece–Sefaköy,,StarCity Outlet,,,,,,,,Confirm the current local minibus boarding and return arrangements.,partial,,,,,,,,,,,
istanbul-to-starcity-car,starcity-outlet,taxiUber,taxi,,,,StarCity Outlet,,,,,,,Verified road access includes free visitor parking for drivers.,"Check traffic, taxi fare, and return pickup before travel.",partial,,,,,,,,,,,
istanbul-to-venezia-t4,venezia-mega-outlet,cityCenter,metro,Metro İstanbul,T1 / T4 toward Mescid-i Selam,Eminönü,Venezia Mega Outlet,,,92.4,92.4,TRY,exact,"Official Metro İstanbul network information supports T1 from Eminönü, the physical Topkapı transfer and T4 tram toward Mescid-i Selam to Kiptaş–Venezia. The exact TRY 92.40 fare is two anonymous İstanbulkart full validations: T1 boarding TRY 46.20 plus T4 boarding TRY 46.20; anonymous cards receive no transfer discount. Upstream travel, card purchase cost and final walking are excluded.","Confirm the line, direction, boarding and alighting points, adult payment product and fare on the official provider before travel.",exact,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=T4,Metro İstanbul,Kiptaş–Venezia,true,"[""Topkapı: T1 to T4""]",,The final pedestrian connection is free and excluded.,,,,
istanbul-to-venezia-m7,venezia-mega-outlet,cityCenter,metro,,M7,,Venezia Mega Outlet,,,,,,,,Confirm the current M7 service and return timetable before travel.,exact,,Metro İstanbul,Karadeniz Mahallesi,,,,,,,,
metrobus-to-venezia-t4,venezia-mega-outlet,cityCenter,bus,,Metrobüs + T4,,Venezia Mega Outlet,,,,,,,,Confirm both current Metrobüs and T4 connections before travel.,exact,,,Kiptaş–Venezia,,"[""Edirnekapı / Şehitlik""]",,,,,,
yenikapi-to-venezia-m1a-t4,venezia-mega-outlet,cityCenter,train,,Marmaray / M1A / T4,Yenikapı,Venezia Mega Outlet,,,,,,,,"Confirm all current Marmaray, M1A, and T4 connections before travel.",exact,,,Kiptaş–Venezia,,"[""M1A"",""Topkapı–Ulubatlı"",""T4""]",,,,,,
istanbul-to-venezia-iett,venezia-mega-outlet,cityCenter,bus,İETT,36A / 36E / 36M / 36V / 36CY / 36EM / 336 / 336E / 336M / 336Y / 79KM,,Venezia Mega Outlet,,,,,,,,"Confirm the current İETT boarding point, stop, and timetable before travel.",exact,,İETT,,,,,,,,,
istanbul-to-venezia-car-taxi,venezia-mega-outlet,taxiUber,taxi,Venezia Mega Taxi / Karadeniz Taxi,,,Venezia Mega Outlet,,,,,,,,Confirm taxi pickup and return arrangements before travel.,partial,,,,,,,,,,,
istanbul-to-212-m9,212-outlet,cityCenter,metro,Metro İstanbul,M1A / M9 toward Olimpiyat,Yenikapı,212 Outlet,,,92.4,92.4,TRY,exact,"Official Metro İstanbul network information supports M1A from Yenikapı, the physical Yenibosna transfer and M9 toward Olimpiyat to 212 Outlet–Halkalı Caddesi. The exact TRY 92.40 fare is two anonymous İstanbulkart full validations: M1A boarding TRY 46.20 plus M9 boarding TRY 46.20; anonymous cards receive no transfer discount. Travel to Yenikapı, card purchase cost and final walking are excluded.","Confirm the line, direction, boarding and alighting points, adult payment product and fare on the official provider before travel.",exact,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M9,Metro İstanbul,212 Outlet–Halkalı Caddesi,true,"[""Yenibosna: M1A to M9""]",,Use Exit 1; the final pedestrian connection is free and excluded.,,,,
atakoy-to-212-marmaray-m9,212-outlet,cityCenter,train,Marmaray / Metro İstanbul,Marmaray / M9,Marmaray network,212 Outlet,,,,,,,,Confirm the current Marmaray and M9 connections before travel.,exact,,Marmaray / Metro İstanbul,212 Outlet–Halkalı Caddesi,,"[""Ataköy""]",,Use Exit 1 for the outlet access.,,,,
yenibosna-to-212-m1a-m9,212-outlet,cityCenter,metro,Metro İstanbul,M1A / M9,M1A network,212 Outlet,,,,,,,,Confirm the current M1A and M9 connections before travel.,exact,,Metro İstanbul,212 Outlet–Halkalı Caddesi,,"[""Yenibosna""]",,Use Exit 1 for the outlet access.,,,,
mahmutbey-to-212-m7-m3-m9,212-outlet,cityCenter,metro,Metro İstanbul,M7 / M3 / M9,M7 network,212 Outlet,,,,,,,,"Confirm the current M7, M3, and M9 connections before travel.",exact,,Metro İstanbul,212 Outlet–Halkalı Caddesi,,"[""Mahmutbey"",""İkitelli Sanayi""]",,Use Exit 1 for the outlet access.,,,,
istoc-sirinevler-to-212-minibus,212-outlet,cityCenter,bus,Public minibus,İstoç–Şirinevler / A-48 İkitelli Organize Sanayi,İstoç / Şirinevler,212 Outlet,,,,,,,,Confirm the current minibus boarding point and return service locally.,partial,,,,,,,,,,,
istanbul-to-212-iett,212-outlet,cityCenter,bus,İETT,HT13 / 89T / 89C / 98T / 98H,,212 Outlet,,,,,,,,"Confirm the current İETT boarding point, stop, and timetable before travel.",exact,,İETT,,,,,,,,,
istanbul-to-212-road-access,212-outlet,taxiUber,taxi,,,,212 Outlet,,,,,,,"Verified road access includes free indoor visitor parking for approximately 3,500 vehicles.","Check traffic, taxi fare, and return pickup before travel.",partial,,,,,,,,,,,
istanbul-to-optimum-yenisahra-metro,optimum-premium-outlet-istanbul,cityCenter,metro,Metro İstanbul,M4 toward Sabiha Gökçen Havalimanı,Kadıköy,Optimum Premium Outlet,,,46.2,46.2,TRY,exact,"Official Metro İstanbul information supports the direct M4 journey from Kadıköy toward Sabiha Gökçen Havalimanı to Yenisahra. The exact TRY 46.20 ordinary-adult anonymous İstanbulkart single validation covers the complete stored metro journey with no transfer. Travel to Kadıköy, card purchase cost and final walking are excluded.","Confirm the line, direction, boarding and alighting points, adult payment product and fare on the official provider before travel.",exact,https://www.metro.istanbul/Hatlarimiz/HatDetay?hat=M4,Metro İstanbul,Yenisahra,true,,,The final pedestrian connection is free and excluded.,,,,
